service_id,date,exception_type
108.119.3,20250901,1
108.0.3,20250901,1
108.0.1,20250901,2
108.119.1,20250905,1
108.119.2,20250906,1
108.119.3,20250907,1
108.119.1,20250912,1
108.119.2,20250913,1
108.119.3,20250914,1
108.119.1,20250919,1
108.119.2,20250920,1
108.119.3,20250921,1
108.119.1,20250926,1
108.119.2,20250927,1
108.119.3,20250928,1
108.119.1,20251003,1
108.119.2,20251004,1
108.119.3,20251005,1
108.119.1,20251010,1
108.119.2,20251011,1
108.119.3,20251012,1
108.119.1,20251017,1
108.119.2,20251018,1
108.119.3,20251019,1
108.119.1,20251024,1
108.119.2,20251025,1
108.119.3,20251026,1
108.119.1,20251031,1
108.0.3,20251111,1
108.0.1,20251111,2
108.0.3,20251127,1
108.0.1,20251127,2
108.0.3,20251225,1
108.0.1,20251225,2
108.0.3,20260101,1
108.0.1,20260101,2
